Freq.	V(vout)
1.05706087845575e-02	(-6.02254489135457e+00dB,-1.21247173594395e+00°)
1.05730430374216e-02	(-6.02254578705567e+00dB,-1.21275086664422e+00°)
1.05754778508577e-02	(-6.02254668316917e+00dB,-1.21303006156651e+00°)
1.05779132249948e-02	(-6.02254757969526e+00dB,-1.21330932072557e+00°)
1.05803491599621e-02	(-6.02254847663411e+00dB,-1.21358864413616e+00°)
1.05827856558887e-02	(-6.02254937398594e+00dB,-1.21386803181304e+00°)
1.05852227129039e-02	(-6.02255027175092e+00dB,-1.21414748377095e+00°)
1.05876603311368e-02	(-6.02255116992924e+00dB,-1.21442700002468e+00°)
1.05900985107166e-02	(-6.02255206852110e+00dB,-1.21470658058897e+00°)
1.05925372517727e-02	(-6.02255296752669e+00dB,-1.21498622547861e+00°)
1.05949765544343e-02	(-6.02255386694619e+00dB,-1.21526593470836e+00°)
1.05974164188308e-02	(-6.02255476677980e+00dB,-1.21554570829300e+00°)
1.05998568450915e-02	(-6.02255566702770e+00dB,-1.21582554624731e+00°)
1.06022978333458e-02	(-6.02255656769010e+00dB,-1.21610544858608e+00°)
1.06047393837231e-02	(-6.02255746876717e+00dB,-1.21638541532409e+00°)
1.06071814963529e-02	(-6.02255837025912e+00dB,-1.21666544647614e+00°)
1.06096241713647e-02	(-6.02255927216612e+00dB,-1.21694554205700e+00°)
1.06120674088880e-02	(-6.02256017448838e+00dB,-1.21722570208149e+00°)
1.06145112090522e-02	(-6.02256107722608e+00dB,-1.21750592656440e+00°)
1.06169555719870e-02	(-6.02256198037941e+00dB,-1.21778621552054e+00°)
1.06194004978220e-02	(-6.02256288394857e+00dB,-1.21806656896471e+00°)
1.06218459866868e-02	(-6.02256378793375e+00dB,-1.21834698691172e+00°)
1.06242920387110e-02	(-6.02256469233513e+00dB,-1.21862746937639e+00°)
1.06267386540244e-02	(-6.02256559715291e+00dB,-1.21890801637354e+00°)
1.06291858327567e-02	(-6.02256650238729e+00dB,-1.21918862791798e+00°)
1.06316335750375e-02	(-6.02256740803845e+00dB,-1.21946930402453e+00°)
1.06340818809967e-02	(-6.02256831410658e+00dB,-1.21975004470803e+00°)
1.06365307507641e-02	(-6.02256922059188e+00dB,-1.22003084998331e+00°)
1.06389801844696e-02	(-6.02257012749454e+00dB,-1.22031171986520e+00°)
1.06414301822429e-02	(-6.02257103481475e+00dB,-1.22059265436854e+00°)
1.06438807442140e-02	(-6.02257194255270e+00dB,-1.22087365350816e+00°)
1.06463318705129e-02	(-6.02257285070858e+00dB,-1.22115471729892e+00°)
1.06487835612694e-02	(-6.02257375928260e+00dB,-1.22143584575566e+00°)
1.06512358166136e-02	(-6.02257466827493e+00dB,-1.22171703889323e+00°)
1.06536886366754e-02	(-6.02257557768578e+00dB,-1.22199829672648e+00°)
1.06561420215849e-02	(-6.02257648751533e+00dB,-1.22227961927028e+00°)
1.06585959714723e-02	(-6.02257739776378e+00dB,-1.22256100653949e+00°)
1.06610504864676e-02	(-6.02257830843132e+00dB,-1.22284245854896e+00°)
1.06635055667008e-02	(-6.02257921951814e+00dB,-1.22312397531357e+00°)
1.06659612123023e-02	(-6.02258013102444e+00dB,-1.22340555684819e+00°)
1.06684174234022e-02	(-6.02258104295041e+00dB,-1.22368720316769e+00°)
1.06708742001307e-02	(-6.02258195529624e+00dB,-1.22396891428696e+00°)
1.06733315426181e-02	(-6.02258286806213e+00dB,-1.22425069022087e+00°)
1.06757894509947e-02	(-6.02258378124827e+00dB,-1.22453253098430e+00°)
1.06782479253907e-02	(-6.02258469485485e+00dB,-1.22481443659215e+00°)
1.06807069659366e-02	(-6.02258560888206e+00dB,-1.22509640705931e+00°)
1.06831665727627e-02	(-6.02258652333011e+00dB,-1.22537844240068e+00°)
1.06856267459994e-02	(-6.02258743819917e+00dB,-1.22566054263114e+00°)
1.06880874857771e-02	(-6.02258835348946e+00dB,-1.22594270776561e+00°)
1.06905487922263e-02	(-6.02258926920115e+00dB,-1.22622493781899e+00°)
1.06930106654776e-02	(-6.02259018533445e+00dB,-1.22650723280619e+00°)
1.06954731056614e-02	(-6.02259110188955e+00dB,-1.22678959274211e+00°)
1.06979361129082e-02	(-6.02259201886664e+00dB,-1.22707201764169e+00°)
1.07003996873488e-02	(-6.02259293626592e+00dB,-1.22735450751982e+00°)
1.07028638291136e-02	(-6.02259385408758e+00dB,-1.22763706239145e+00°)
1.07053285383334e-02	(-6.02259477233182e+00dB,-1.22791968227149e+00°)
1.07077938151387e-02	(-6.02259569099883e+00dB,-1.22820236717487e+00°)
1.07102596596605e-02	(-6.02259661008880e+00dB,-1.22848511711652e+00°)
1.07127260720292e-02	(-6.02259752960193e+00dB,-1.22876793211138e+00°)
1.07151930523758e-02	(-6.02259844953841e+00dB,-1.22905081217440e+00°)
1.07176606008310e-02	(-6.02259936989844e+00dB,-1.22933375732051e+00°)
1.07201287175257e-02	(-6.02260029068222e+00dB,-1.22961676756466e+00°)
1.07225974025906e-02	(-6.02260121188993e+00dB,-1.22989984292179e+00°)
1.07250666561568e-02	(-6.02260213352179e+00dB,-1.23018298340687e+00°)
1.07275364783550e-02	(-6.02260305557797e+00dB,-1.23046618903485e+00°)
1.07300068693163e-02	(-6.02260397805867e+00dB,-1.23074945982068e+00°)
1.07324778291717e-02	(-6.02260490096409e+00dB,-1.23103279577934e+00°)
1.07349493580521e-02	(-6.02260582429443e+00dB,-1.23131619692579e+00°)
1.07374214560886e-02	(-6.02260674804988e+00dB,-1.23159966327499e+00°)
1.07398941234122e-02	(-6.02260767223064e+00dB,-1.23188319484193e+00°)
1.07423673601540e-02	(-6.02260859683689e+00dB,-1.23216679164158e+00°)
1.07448411664453e-02	(-6.02260952186885e+00dB,-1.23245045368891e+00°)
1.07473155424171e-02	(-6.02261044732670e+00dB,-1.23273418099892e+00°)
1.07497904882005e-02	(-6.02261137321064e+00dB,-1.23301797358659e+00°)
1.07522660039270e-02	(-6.02261229952087e+00dB,-1.23330183146691e+00°)
1.07547420897276e-02	(-6.02261322625758e+00dB,-1.23358575465488e+00°)
1.07572187457337e-02	(-6.02261415342096e+00dB,-1.23386974316549e+00°)
1.07596959720766e-02	(-6.02261508101122e+00dB,-1.23415379701375e+00°)
1.07621737688876e-02	(-6.02261600902856e+00dB,-1.23443791621465e+00°)
1.07646521362981e-02	(-6.02261693747316e+00dB,-1.23472210078322e+00°)
1.07671310744394e-02	(-6.02261786634522e+00dB,-1.23500635073444e+00°)
1.07696105834431e-02	(-6.02261879564495e+00dB,-1.23529066608335e+00°)
1.07720906634406e-02	(-6.02261972537253e+00dB,-1.23557504684497e+00°)
1.07745713145634e-02	(-6.02262065552817e+00dB,-1.23585949303430e+00°)
1.07770525369429e-02	(-6.02262158611206e+00dB,-1.23614400466638e+00°)
